ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_kumulativ,differenz_zum_vortag,impfungen_pro_1_000_einwohner,indikation_nach_alter,berufliche_indikation,medizinische_indikation,pflegeheim_bewohner_in,notes,rs
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Sachsen,SN,857,675,NA,240,551,1,305,NA,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Sachsen-Anhalt,ST,3985,2481,NA,1592,1678,124,2292,NA,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Schleswig-Holstein,SH,2495,1686,NA,588,528,584,1136,NA,NA
2020-12-29T07:00:00Z,2020-12-30T10:09:36Z,Thüringen,TH,257,158,NA,135,121,NA,135,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Baden-Württemberg,BW,8242,3509,NA,3243,2994,517,933,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Bayern,BY,12935,7716,NA,3010,5573,214,5314,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Berlin,BE,6296,2457,NA,4918,1396,105,4899,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Brandenburg,BB,1553,1442,NA,110,1430,13,123,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Bremen,HB,1059,467,NA,528,201,3,579,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Hamburg,HH,1499,428,NA,704,661,0,839,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Hessen,HE,9448,5094,NA,3041,5092,500,3825,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Mecklenburg-Vorpommern,MV,7338,3711,NA,87,4011,4,3231,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Niedersachsen,NI,1527,692,NA,83,824,145,794,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Nordrhein-Westfalen,NW,11385,3857,NA,0,2771,0,8622,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Rheinland-Pfalz,RP,2284,822,NA,0,1011,0,1273,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Saarland,SL,1518,656,NA,1177,101,0,711,NA,NA
2020-12-30T10:00:00Z,2020-12-30T19:07:30Z,Sachsen,SN,1487,812,NA,150,1294,1,192,NA,NA
