ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_neu,indikation_nach_alter_neu,medizinische_indikation_neu,berufliche_indikation_neu,pflegeheim_bewohner_in_neu,notes
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Hamburg,HH,719,297,NA,378,342,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Hessen,HE,5699,1396,109,3664,2001,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Mecklenburg-Vorpommern,MV,393,5,1,234,153,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Niedersachsen,NI,861,271,339,469,621,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Nordrhein-Westfalen,NW,3033,NA,NA,2353,2641,(für den 31.12. wurden keine Daten aus der KV-Nordrhein übermittelt)
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Rheinland-Pfalz,RP,865,NA,NA,388,477,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Saarland,SL,597,424,NA,87,181,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Sachsen,SN,637,76,0,294,343,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Sachsen-Anhalt,ST,1046,399,158,514,531,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Schleswig-Holstein,SH,1689,381,352,1162,576,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Thüringen,TH,0,0,0,0,0,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Baden-Württemberg,BW,2958,1509,152,762,710,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Bayern,BY,1050,0,0,1050,0,(Nachmeldungen für den 01.01. bereits für morgen angekündigt)
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Berlin,BE,2023,1633,0,367,1656,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Brandenburg,BB,NA,0,0,0,0,(für den 01.01. wurde nicht gemeldet)
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Bremen,HB,NA,0,0,0,0,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Hamburg,HH,283,0,NA,283,0,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Hessen,HE,3418,836,134,2135,1167,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Mecklenburg-Vorpommern,MV,NA,0,0,0,0,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Niedersachsen,NI,379,206,173,124,318,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Nordrhein-Westfalen,NW,7908,NA,0,2883,5203,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Rheinland-Pfalz,RP,439,NA,NA,837,949,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Saarland,SL,600,443,NA,87,214,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Sachsen,SN,710,71,0,566,144,NA
